eco	family	variation	epd	pgn	move_count	eval	master_games	master_white_win	master_black_win	master_draw	lichess_games	lichess_white_win	lichess_black_win	lichess_draw
C40	Latvian Gambit Accepted	Bilguer Variation	rnb1kbnr/ppp3pp/3p1q2/5p2/2NPP3/8/PPP2PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4 d6 5. Nc4	9	1.41	127	74.01574803149606	11.023622047244094	14.960629921259844	215579	50.555944688490065	45.54571641950283	3.8983388920071063
C40	Latvian Gambit Accepted	Bronstein Attack	rnb1kbnr/ppp3pp/3p1q2/8/2NPp3/8/PPP1BPPP/RNBQK2R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4 d6 5. Nc4 fxe4 6. Be2	11	1.21	14	64.28571428571429	28.57142857142857	7.142857142857142	53254	50.77365080557329	45.53272993577947	3.693619258647238
C40	Latvian Gambit Accepted	Bronstein Gambit	rnb1kbnr/ppp4p/3p1qp1/8/2NPp3/8/PPP1QPPP/RNB1KB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4 d6 5. Nc4 fxe4 6. Qh5+ g6 7. Qe2	13	-0.66	0	0.0	0.0	0.0	546	47.43589743589743	49.633699633699635	2.93040293040293
C40	Latvian Gambit Accepted	Foltys Variation	rnb1kbnr/pppp2pp/5q2/8/2N1p3/3P4/PPP2PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4 fxe4 5. d3	9	0.55	1	100.0	0.0	0.0	3679	50.69312313128568	45.419951073661316	3.8869257950530036
C40	Latvian Gambit Accepted	Foltys-Leonhardt Variation	rnb1kbnr/pppp2pp/5q2/5p2/2N1P3/8/PPPP1PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4	7	1.38	40	62.5	12.5	25.0	39891	50.35471660274248	45.443834448873176	4.201448948384347
C40	Latvian Gambit Accepted	Leonhardt Variation	rnb1kbnr/pppp2pp/5q2/8/2N1p3/2N5/PPPP1PPP/R1BQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. Nc4 fxe4 5. Nc3	9	1.33	36	63.888888888888886	11.11111111111111	25.0	17439	54.716440162853374	41.00005734273754	4.283502494409083
C40	Latvian Gambit Accepted	Main Line	rnb1kbnr/pppp2pp/5q2/4Np2/3PP3/8/PPP2PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4	7	1.42	132	74.24242424242425	11.363636363636363	14.393939393939394	356180	48.067550115110336	48.34886854960975	3.5835813352799146
C40	Latvian Gambit Accepted	Nimzowitsch Attack	rnb1kbnr/ppp3pp/3p1q2/8/3Pp3/4N3/PPP2PPP/RNBQKB1R b KQkq -	1. e4 e5 2. Nf3 f5 3. Nxe5 Qf6 4. d4 d6 5. Nc4 fxe4 6. Ne3	11	1.1	13	69.23076923076923	7.6923076923076925	23.076923076923077	20822	50.67236576697724	44.97166458553453	4.355969647488234
C40	Latvian Gambit	Behting Variation	rnb1kb1N/ppp3pp/5n2/3p4/2B1p3/8/PPPP1PqP/RNBQKR2 w Qq -	1. e4 e5 2. Nf3 f5 3. Bc4 fxe4 4. Nxe5 Qg5 5. Nf7 Qxg2 6. Rf1 d5 7. Nxh8 Nf6	14	-0.72	0	0.0	0.0	0.0	1893	31.642894875858424	65.3460116217644	3.011093502377179
C40	Latvian Gambit	Corkscrew Countergambit	rnbqkb1r/pppp2pp/5n2/4N3/2B1p3/8/PPPP1PPP/RNBQK2R w KQkq -	1. e4 e5 2. Nf3 f5 3. Bc4 fxe4 4. Nxe5 Nf6	8	2.34	0	0.0	0.0	0.0	23849	45.61197534487819	52.0902343913791	2.297790263742715
